"ID";"Name";"Photo";"global_id";"AdmArea";"District";"Location";"RegistrationNumber";"State";"LocationType";"geodata_center";"geoarea";
"Локальный идентификатор";"Название объекта";"Фотография";"global_id";"Административный округ по адресу";"Район";"Месторасположение";"Государственный регистрационный знак";"Состояние регистрации";"Тип места расположения";"geodata_center";"geoarea";
"2539";"CAROUSEL DOUBLE STOREY 10MEH";"44503437-9432-463a-bf66-fc84a913de1e";"2387180239";"Северо-Восточный административный округ";"район Отрадное";"Г. МОСКВА, УЛ. ХАЧАТУРЯНА, Д.13";"2309-77";"аттракцион зарегистрирован";"площадка";"";"";
"2540";"MERRY GO ROUND";"a79aed7d-0958-4473-84a3-00e2ef98372a";"2387180240";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2311-77";"аттракцион зарегистрирован";"парк";"";"";
"2541";"MINI DANC PARTY";"a52cfa4f-4cc1-448c-b23c-cd008befd9a5";"2387180241";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2312-77";"аттракцион зарегистрирован";"парк";"";"";
"2542";"HAPPY SWING";"156654c4-7a70-48ff-9119-836cb636ba9e";"2387180242";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2313-77";"аттракцион зарегистрирован";"парк";"";"";
"2543";"RIDE ELEPHANT";"13643c2e-c793-472e-b52a-bcc18febc02d";"2387180243";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2314-77";"аттракцион зарегистрирован";"парк";"";"";
"2544";"BUMPER CARS";"fc2f1070-9f4e-4f06-8abb-1bf3be97f4f5";"2387180244";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2315-77";"аттракцион зарегистрирован";"парк";"";"";
"2546";"JUMP AROUND";"a2925d0a-0f41-4c50-aa5f-750fb59c041c";"2387180245";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2316-77";"аттракцион зарегистрирован";"парк";"";"";
"2547";"FAMILY SWINGER";"ac089e30-b958-48da-8791-8a60a1586493";"2387180246";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2317-77";"аттракцион зарегистрирован";"парк";"";"";
"2548";"ВЕРТОЛЕТЫ";"d37132b1-7b99-4b4a-afae-c582954742ba";"2387180247";"Северо-Восточный административный округ";"район Бибирево";"ЭТНОГРАФИЧЕСКАЯ ДЕРЕВНЯ БИБИРЕВО";"2318-77";"аттракцион зарегистрирован";"парк";"";"";
"2550";"SPEEDY COASTER";"9289fc90-10d5-41aa-b885-726d6f0eafe0";"2387180248";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2320-77";"аттракцион зарегистрирован";"парк";"";"";
"2551";"KIDDIE SWING";"c6d15a5b-b39a-48d5-b5d0-86979ea98c7d";"2387180249";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2321-77";"аттракцион зарегистрирован";"парк";"";"";
"2552";"НАДУВНОЙ БАТУТ С ГОРКОЙ ВЕСЁЛЫЕ ЗВЕРЯТА";"e784bcb6-b6b2-4e23-8570-1754cbb9bbf4";"2387180250";"Восточный административный округ";"район Сокольники";"ПАРК КУЛЬТУРЫ И ОТДЫХА «СОКОЛЬНИКИ»";"2322-77";"аттракцион зарегистрирован";"парк";"";"";
"2553";"РАКУШКИ";"6d327bde-465e-440d-9fac-74d6c2683cd6";"2387180251";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2323-77";"аттракцион зарегистрирован";"парк";"";"";
"2555";"WONDER FLIGHT";"6f685669-8eef-4529-a500-3c2305098b89";"2387180252";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2325-77";"аттракцион зарегистрирован";"парк";"";"";
"2556";"МИНИ-ВАЛЬС";"c174eb15-9867-4626-9d56-e19d3acf3647";"2387180253";"Северо-Восточный административный округ";"Лосиноостровский район";"ПАРК КУЛЬТУРЫ И ОТДЫХА «БАБУШКИНСКИЙ»";"2326-77";"аттракцион зарегистрирован";"парк";"";"";
"2557";"КОЛОБОК";"aa11e7c9-a879-46c1-b213-ad9e9d90a109";"2387180254";"Западный административный округ";"район Крылатское";"ПАРК «SKAZKA»";"2327-77";"аттракцион зарегистрирован";"парк";"";"";
"2569";"«АТТРАКЦИОН «МИКС»";"30ea0d4c-db24-4dd6-9ebf-3528c0057915";"2387180256";"Западный административный округ";"район Крылатское";"ПАРК «SKAZKA»";"2335-77";"аттракцион зарегистрирован";"парк";"";"";
"2575";"АВТОДРОМ";"7ccdb415-72d8-4124-97f6-8878a1d85ac9";"2387180259";"Восточный административный округ";"район Перово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ПЕРОВСКИЙ»";"2341-77";"аттракцион зарегистрирован";"парк";"";"";
"2576";"КОРАБЛЬ НА ВОЛНАХ";"fd8e960b-9dc9-44f7-838a-833358473e83";"2387180260";"Восточный административный округ";"район Перово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ПЕРОВСКИЙ»";"2342-77";"аттракцион зарегистрирован";"парк";"";"";
"2577";"МИНИ-ДЖЕТ КАСКАД";"1545d3f5-bdde-48fc-b148-6551a03c196f";"2387180261";"Восточный административный округ";"район Перово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ПЕРОВСКИЙ»";"2343-77";"аттракцион зарегистрирован";"парк";"";"";
"2578";"КОМБИНИРОВАННАЯ ЗИМНЯЯ ГОРКА";"e262e835-141e-453a-95bb-909e155b3581";"2387180262";"Северо-Восточный административный округ";"Останкинский район";"ПАРК ОСТАНКИНО";"2344-77";"аттракцион зарегистрирован";"парк";"";"";
"2579";"КОМБИНИРОВАННАЯ ЗИМНЯЯ ГОРКА";"ef0e4b5d-28ef-4eb0-8520-3160530410ce";"2387180263";"Северо-Восточный административный округ";"район Южное Медведково";"ПАРК ЯУЗА";"2345-77";"аттракцион зарегистрирован";"парк";"";"";
"2580";"КОМБИНИРОВАННАЯ ЗИМНЯЯ ГОРКА";"1671dd64-8d3e-4fb0-b4d7-1d6074aa7e00";"2387217525";"Северо-Восточный административный округ";"район Ростокино";"ПАРК САД БУДУЩЕГО";"2346-77";"аттракцион зарегистрирован";"парк";"";"";
"2520";"CAROUSEL DOUBLE STOREY 10MEH";"0f21450e-c627-4863-96b0-c6714cf4f0f2";"2387217526";"Юго-Западный административный округ";"район Южное Бутово";"Г. МОСКВА, УЛ. АДМИРАЛА РУДНЕВА, Д.8";"2291-77";"аттракцион зарегистрирован";"площадка";"";"";
"2584";"CAROUSEL DOUBLE STOREY 10MEH";"5530dd97-c84b-4d61-b315-7940754f3af4";"2387217528";"Юго-Восточный административный округ";"район Некрасовка";"ФЕСТИВАЛЬНАЯ ПЛОЩАДКА У МЕТРО НЕКРАСОВКА";"2350-77";"аттракцион зарегистрирован";"площадка";"";"";
"2588";"CONVOY";"d2e07c5e-3430-4854-b201-93e6c48e9d90";"2387217530";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2365-77";"аттракцион зарегистрирован";"парк";"";"";
"2589";"DISCO ПАРКОВАЯ МОДЕЛЬ";"18bfcf21-3a61-4ab0-943d-b359802e8e7c";"2387217531";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"2366-77";"аттракцион зарегистрирован";"парк";"";"";
"2604";"BRAKE DANCE";"74957cdc-b880-4e8b-8437-4731abf6c29e";"2387217532";"Юго-Восточный административный округ";"район Кузьминки";"ПАРК КУЛЬТУРЫ И ОТДЫХА «КУЗЬМИНКИ»";"2370-77";"аттракцион зарегистрирован";"парк";"";"";
"2606";"КАТАЛЬНАЯ ГОРА ТОРНАДО";"9f06aac4-671b-457e-8cd4-0e7aecdfbb9c";"2387217534";"Юго-Восточный административный округ";"район Кузьминки";"ПАРК КУЛЬТУРЫ И ОТДЫХА «КУЗЬМИНКИ»";"2372-77";"аттракцион зарегистрирован";"парк";"";"";
"2402";"ВАЛЬС";"0733e5e2-1b7c-40d4-a219-2dbe5c69e793";"2387217535";"Западный административный округ";"район Крылатское";"ПАРК «SKAZKA»";"0275-77";"аттракцион зарегистрирован";"парк";"";"";
"2608";"ГУСЕНИЦА";"d2f9fff1-a878-415e-8a0f-70904f59b460";"2387217537";"Центральный административный округ";"район Якиманка";"ЦЕНТРАЛЬНЫЙ ПАРК КУЛЬТУРЫ И ОТДЫХА ИМЕНИ М. ГОРЬКОГО";"2374-77";"аттракцион зарегистрирован";"парк";"";"";
"2610";"БАТУТ НАДУВНОЙ БС-180";"45189ee8-9c6f-4fa1-ba71-e92c5df048c0";"2387217538";"Западный административный округ";"район Крылатское";"ПАРК «SKAZKA»";"2375-77";"аттракцион зарегистрирован";"парк";"";"";
"2499";"БАТУТ НАДУВНОЙ ТРИДЕВЯТОЕ ЦАРСТВО";"00f47538-6758-43f3-bbe6-943ff540bb9a";"2387217539";"Западный административный округ";"район Крылатское";"ПАРК «SKAZKA»";"2270-77";"аттракцион зарегистрирован";"парк";"";"";
"2498";"ГОРКА НАДУВНАЯ ЗМЕЙ ГОРЫНЫЧ";"523a133d-33a8-4c8f-8531-f5a0057fb4bd";"2387217540";"Западный административный округ";"район Крылатское";"ПАРК «SKAZKA»";"2269-77";"аттракцион зарегистрирован";"парк";"";"";
